Date,Crop,State,Season,Price,Arrivals,Production,Rainfall,Temperature,Demand,DemandPredicted
2021-01-31,0,0,0,4421,1589,792034,4,13,291651.2925745055,380169.43581347854
2021-02-28,0,0,0,5042,1212,1491607,12,13,477005.410922436,489968.6908896901
2021-03-31,0,0,0,3398,3514,1946071,22,28,682014.7184461486,571511.6280457692
2021-04-30,0,0,0,2470,4825,2078700,9,35,666059.9768063194,536008.7512946532
2021-05-31,0,0,0,1264,8019,2412777,47,35,220423.3235958794,465015.9919999087
2021-06-30,0,0,0,7555,3792,1734543,299,31,55572.51545302944,38975.917974839474
2021-07-31,0,0,0,4060,1894,1209601,263,34,470169.86943425686,479407.66036013514
2021-08-31,0,0,0,4512,4038,857599,239,32,205990.88342260668,192005.36109466167
2021-09-30,0,0,0,5577,3023,1529344,39,25,307352.82170915155,285709.2540187578
2021-10-31,0,0,0,7294,333,1810377,14,33,153453.6753156604,364187.4813599583
2021-11-30,0,0,0,4532,2249,1404868,16,36,456591.52703751257,419100.702980794
2021-12-31,0,0,0,7558,3346,891274,14,8,30793.065184584077,-61956.653321868835
2022-01-31,0,0,0,5526,1127,1880111,1,13,508292.5455690772,508246.7578893757
2022-02-28,0,0,0,5477,1677,803095,9,11,205944.21893981,267573.4485450313
2022-03-31,0,0,0,3128,3818,1803336,22,36,631976.9102731491,558089.8984791898
2022-04-30,0,0,0,2298,4917,3307036,4,35,1068509.6094145828,791480.7454646084
2022-05-31,0,0,0,3014,5256,3580997,36,30,927587.5020794108,726240.4937343185
2022-06-30,0,0,0,7647,3545,968433,187,27,25750.794387729784,-98867.80276157355
2022-07-31,0,0,0,6536,1352,1294101,259,27,201000.36105004567,270450.873903842
2022-08-31,0,0,0,3209,4835,1883344,216,25,521537.1543074763,473517.33268381626
2022-09-30,0,0,0,7361,3643,1711630,4,35,81111.5796614523,80449.92332206383
2022-10-31,0,0,0,3954,1288,1918112,17,37,830974.8901941441,685830.6499866728
2022-11-30,0,0,0,5616,1145,1374799,20,31,357328.82722209184,405548.6484067463
2022-12-31,0,0,0,4081,742,1638920,25,11,736445.4854530754,667938.8259671539
2023-01-31,0,0,0,3235,4704,1897191,6,5,538973.7132073875,489730.86304516485
2023-02-28,0,0,0,5937,4888,650527,22,8,76539.47055036412,-80040.80663960155
2023-03-31,0,0,0,6084,1896,1939651,4,34,366336.4535879106,401251.71184379456
2023-04-30,0,0,0,1857,7178,3459654,39,29,536591.9145689423,665126.7136206918
2023-05-31,0,0,0,3359,5207,2724125,27,38,665393.8878619042,507942.8145560636
2023-06-30,0,0,0,3108,2807,1805674,154,27,759479.2998093882,629053.759948168
2023-07-31,0,0,0,5920,3927,989699,278,33,144878.09052730113,67520.61584748945
2023-08-31,0,0,0,5807,581,1009787,235,26,258756.9914885336,355473.84185576264
2023-09-30,0,0,0,6135,1021,707307,5,25,146054.3428176944,227580.2739320514
2023-10-31,0,0,0,5388,654,1661034,47,36,502637.14886948536,521744.9677142662
2023-11-30,0,0,0,4279,506,1847825,18,34,810888.2044659997,691410.5002627469
2023-12-31,0,0,0,7964,4827,950872,24,10,1873.035975280648,-222117.61312774481
2015-01-31,0,1,0,4496,3969,1093823,19,13,267610.4754620562,234158.58410440807
2015-02-28,0,1,0,6982,2228,1003655,13,9,95916.15690415096,92557.74766915284
2015-03-31,0,1,0,7539,4986,1373030,22,39,35119.32828857575,-131444.229157808
2015-04-30,0,1,0,2357,5920,3100683,35,27,747611.5814560227,665181.922241674
2015-05-31,0,1,0,2840,5327,2400891,49,39,631394.1313803159,503709.9129062675
2015-06-30,0,1,0,6780,2417,1460758,206,29,162681.01126215412,185350.93849772628
2015-07-31,0,1,0,5272,4244,657726,207,30,118405.89485998514,49075.57758691437
2015-08-31,0,1,0,7710,2985,1984209,193,32,47738.83401256102,145136.02770069422
2015-09-30,0,1,0,3577,3320,1478496,36,39,515613.1289742947,463331.3759499114
2015-10-31,0,1,0,3913,1046,1117339,24,31,504320.87871099234,534307.195447142
2015-11-30,0,1,0,5838,4172,1382329,8,37,200170.40358922412,137931.90884739088
2015-12-31,0,1,0,6741,4840,613560,11,8,44543.134708079466,-153480.49969305706
2016-01-31,0,1,0,6183,3627,1513770,27,14,205005.9486578148,165323.70067698293
2016-02-29,0,1,0,6762,504,1219653,20,12,177922.5656612597,294643.8646413663
2016-03-31,0,1,0,3126,1055,1049312,6,25,564221.7895796906,609727.6568720345
2016-04-30,0,1,0,1406,6954,3203824,5,39,599164.79308999,681187.427441366
2016-05-31,0,1,0,3286,6303,3065860,4,36,540567.6961964227,500583.787560307
2016-06-30,0,1,0,7680,4451,958796,290,25,19257.90716206012,-176916.08945802876
2016-07-31,0,1,0,5438,4256,1319530,261,32,222517.0916853727,160241.47296167377
2016-08-31,0,1,0,7551,236,1442914,290,27,78527.16688791431,274839.3136199312
2016-09-30,0,1,0,5376,3013,1289079,7,31,281045.1286461972,256318.33292225795
2016-10-31,0,1,0,3840,4957,598427,8,28,139662.37145317456,130587.12499337198
2016-11-30,0,1,0,3037,1082,723681,16,37,394888.96324460494,538005.036374615
2016-12-31,0,1,0,7998,2319,751261,26,9,0.0,-70313.65412020487
2017-01-31,0,1,0,4533,2000,1951889,21,5,657602.5776604657,561317.3998985693
2017-02-28,0,1,0,3847,1740,1645670,9,7,688890.7206422228,605554.8285940553
2017-03-31,0,1,0,4541,2555,1779871,22,26,550796.543809104,496033.7940363267
2017-04-30,0,1,0,2221,5321,2267082,41,26,668846.071874222,566320.3083697133
2017-05-31,0,1,0,1336,5249,3288685,5,34,1140806.8267013945,865197.9004207697
2017-06-30,0,1,0,7285,3605,738948,185,30,39473.860827074495,-109897.47924759581
2017-07-31,0,1,0,5354,2965,856660,153,28,189847.41337085248,184625.35538021263
2017-08-31,0,1,0,6218,2962,1374264,299,28,205135.54997087235,198368.95674060742
2017-09-30,0,1,0,3998,1265,1295119,7,36,556629.9785062998,548924.0574633586
2017-10-31,0,1,0,3577,2484,713544,22,34,285500.18986492034,376182.2815682967
2017-11-30,0,1,0,5400,2146,1740573,48,28,430502.8073478348,396445.3866307098
2017-12-31,0,1,0,5358,538,1507494,21,11,467835.617063243,496428.1337992026
2018-01-31,0,1,0,3505,3196,1382627,0,6,500739.6638026794,463840.22656792344
2018-02-28,0,1,0,4997,2817,1947697,13,7,501941.0643387084,450154.5755560838
2018-03-31,0,1,0,5152,2524,913603,8,32,233873.6238673064,249729.5264797505
2018-04-30,0,1,0,1478,7821,3265388,33,32,347430.48099768127,625366.7839861007
2018-05-31,0,1,0,3146,6347,2876697,9,29,513748.2149708076,479808.40525355516
2018-06-30,0,1,0,4874,4449,1155027,192,26,228007.9687238096,173522.35219857772
2018-07-31,0,1,0,6194,4496,1995715,177,25,225148.20061518988,192765.48348502812
2018-08-31,0,1,0,4781,1781,1061003,161,33,342264.01709257223,380870.4078821017
2018-09-30,0,1,0,7894,3716,1006095,28,36,7677.881845669852,-111242.8423202809
2018-10-31,0,1,0,6127,2880,1386057,36,32,220429.0210463261,203081.35855319275
2018-11-30,0,1,0,7928,2690,1480834,34,27,9084.623655913943,52755.210948830456
2018-12-31,0,1,0,4298,960,1035945,5,11,428096.5582904898,488749.7042245355
2019-01-31,0,1,0,6774,846,1080400,3,11,149791.69793004118,249754.21296173288
2019-02-28,0,1,0,4330,2212,1509312,18,5,521972.4743543862,483035.6301788939
2019-03-31,0,1,0,6105,1808,650371,16,37,122991.99871759216,155190.27685359714
2019-04-30,0,1,0,1790,8313,3604312,41,39,212117.20366267208,628041.5142121223
2019-05-31,0,1,0,2984,8453,3160014,5,39,119368.58764763451,389905.2288481037
2019-06-30,0,1,0,7346,404,698153,256,33,54357.48514388184,147625.63864553202
2019-07-31,0,1,0,7352,3667,892792,269,30,42713.430877118924,-75423.2954662624
2019-08-31,0,1,0,4594,2897,1503170,250,34,433713.0637111751,391793.3009245785
2019-09-30,0,1,0,5465,2086,618215,30,26,150385.98105411566,197544.1201657472
2019-10-31,0,1,0,3519,1718,1990463,37,34,901789.094372384,691532.1459048027
2019-11-30,0,1,0,5950,2336,610018,35,36,115637.59474298812,119001.98865638791
2019-12-31,0,1,0,6932,2315,1884991,26,10,186577.97734703272,261266.75864831012
2020-01-31,0,1,0,6959,1035,1852158,7,5,212923.7369030974,365790.0204867784
2020-02-29,0,1,0,7209,716,1809321,18,8,164281.22863193566,349210.90950975136
2020-03-31,0,1,0,4333,2608,1392513,19,34,453093.2433791465,436049.6227312265
2020-04-30,0,1,0,2451,4891,2317426,2,27,733312.0570065809,571535.4960963263
2020-05-31,0,1,0,1674,5776,2340156,11,35,662178.5063433172,577683.1209252299
2020-06-30,0,1,0,4865,1919,1254392,243,29,386543.99178360455,396202.1696195929
2020-07-31,0,1,0,3080,1050,553004,242,31,300350.34222758026,517923.1873887237
2020-08-31,0,1,0,7987,292,1866575,176,27,2483.8453147888667,305706.79631417646
2020-09-30,0,1,0,7348,3997,1849152,37,36,83502.53353221573,75397.95581247429
2020-10-31,0,1,0,6609,1209,1385384,22,39,208259.22372110537,286604.51471980516
2020-11-30,0,1,0,6886,2992,1856503,18,36,172260.70428123986,202604.11624268207
2020-12-31,0,1,0,6833,3246,1543467,19,12,143692.14075607562,139945.53183708145
2021-01-31,0,1,0,4124,4160,1759074,24,9,457991.7309574754,395864.8331720768
2021-02-28,0,1,0,6396,2738,785700,17,10,109471.94955770626,78241.70030180576
2021-03-31,0,1,0,5498,4930,1707354,30,39,241180.1536404112,170832.35509331725
2021-04-30,0,1,0,2286,8065,2451580,14,33,181023.37164057544,361948.59268656437
2021-05-31,0,1,0,1399,5124,3415502,26,29,1212755.5650579962,905338.6553984822
2021-06-30,0,1,0,6446,3052,858602,171,29,110079.582940093,48724.224865209544
2021-07-31,0,1,0,4097,2159,783152,249,25,290296.2984752859,371265.67353515443
2021-08-31,0,1,0,3518,1580,1480829,257,26,683772.3149075207,612667.7517126846
2021-09-30,0,1,0,6605,107,688411,7,26,118473.2755788169,245139.12455200145
2021-10-31,0,1,0,3045,4845,1318105,41,32,376603.0775307779,368063.26188067626
2021-11-30,0,1,0,4515,1258,846685,25,27,317150.47753232083,394167.3017614787
2021-12-31,0,1,0,6854,791,1735251,15,5,226376.5370105173,372833.97656367725
2022-01-31,0,1,0,3850,1403,608331,20,11,266288.4488895432,420965.800204381
2022-02-28,0,1,0,6806,1131,535021,25,12,69712.07687480513,112864.75990568873
2022-03-31,0,1,0,5199,1132,708879,35,34,216860.63122260556,327711.2796455864
2022-04-30,0,1,0,1468,7905,2426147,18,34,240034.80722737664,459916.1956290044
2022-05-31,0,1,0,1397,8627,3235219,40,38,109239.23960133994,558411.0716526624
2022-06-30,0,1,0,7812,151,1617668,171,33,36988.65207285708,292848.13174995175
2022-07-31,0,1,0,6577,2506,1442799,249,25,184924.78278450936,201298.0540080237
2022-08-31,0,1,0,5463,2423,673858,202,30,156049.1256382745,178685.68382161474
2022-09-30,0,1,0,6464,1711,898295,2,31,139518.4721210875,177029.1913049926
2022-10-31,0,1,0,3601,4138,1835423,28,37,544851.5255532478,475599.32605403126
2022-11-30,0,1,0,4850,432,1931874,45,28,723863.8657882368,660081.4596518002
2022-12-31,0,1,0,3586,1656,1839706,0,5,828015.0846161791,689041.8182195721
2023-01-31,0,1,0,6220,1591,1384116,0,11,253272.52975267163,312164.164206179
2023-02-28,0,1,0,7940,3293,743279,4,6,3416.838892380117,-151828.53759674885
2023-03-31,0,1,0,6085,2643,1576395,16,33,266261.2341456681,269455.8136846286
2023-04-30,0,1,0,2702,5989,3618436,18,27,800710.0523092975,700627.8531545585
2023-05-31,0,1,0,2279,7374,3483790,25,33,448923.6777122297,601337.0737829371
2023-06-30,0,1,0,3585,3586,1745261,280,27,579066.8791897391,502821.4305704424
2023-07-31,0,1,0,4541,2721,1343083,283,33,404915.2919009908,384101.70932794566
2023-08-31,0,1,0,3235,877,524771,218,25,282044.0147309479,516918.09669716447
2023-09-30,0,1,0,6965,613,1557634,32,28,187469.5897182189,335999.6588045599
2023-10-31,0,1,0,3397,3916,1914020,5,28,621719.3010812459,527088.2748071691
2023-11-30,0,1,0,4491,4419,1894191,8,33,422535.2861577262,366087.5956367986
2023-12-31,0,1,0,7374,4403,1628273,17,6,64853.15715232305,7215.251186486982
2015-01-31,0,2,0,3880,3684,1420393,55,21,431805.9273616904,383741.4328891005
2015-02-28,0,2,0,7536,1785,1378058,85,24,63806.0954810687,139731.0472107408
2015-03-31,0,2,0,7993,3208,1761385,164,38,708.4271759295658,43110.425396793464
2015-04-30,0,2,0,3430,6179,3310593,131,33,591945.8370482561,563196.6791901898
2015-05-31,0,2,0,2032,6307,3005833,132,37,670030.8419859831,636771.6830023652
2015-06-30,0,2,0,3995,937,1101925,262,33,494062.9895515846,545531.8810262089
2015-07-31,0,2,0,3223,4922,1097497,364,32,296693.86102466413,306118.42928108235
2015-08-31,0,2,0,7804,2327,868298,397,28,15612.899144964116,-28692.434791706237
2015-09-30,0,2,0,7350,2318,547454,112,35,32924.67130101037,-37892.662761917985
2015-10-31,0,2,0,6220,2781,970167,181,31,148993.36754928032,129912.35103500506
2015-11-30,0,2,0,7319,749,1211120,102,38,94257.88990438276,214656.4280490569
2015-12-31,0,2,0,3589,574,1312335,83,24,677276.3495392331,636493.6382287514
2016-01-31,0,2,0,7355,3409,1070950,61,24,53468.56541956499,-26849.495690830332
2016-02-29,0,2,0,3228,684,1596997,63,24,880021.3207775262,730309.7784223538
2016-03-31,0,2,0,5758,4615,659338,131,36,89918.21309412958,-36549.65749507697
2016-04-30,0,2,0,2830,4990,3792257,160,32,1091038.8606723663,801020.3811793249
2016-05-31,0,2,0,1774,6357,2549016,170,39,581747.2904995565,560692.0679115127
2016-06-30,0,2,0,5308,4990,1546473,381,30,231587.21228180864,161649.2736078039
2016-07-31,0,2,0,4489,3441,1182864,313,25,320436.13927250577,303853.2100015244
2016-08-31,0,2,0,5111,3056,734563,302,33,175067.92762335943,177093.3306997053
2016-09-30,0,2,0,7807,4919,688800,101,32,7453.806486641116,-253883.19401434678
2016-10-31,0,2,0,6885,3900,1403428,174,31,110623.3795744656,44822.138586665664
2016-11-30,0,2,0,5526,982,1220063,199,36,335925.75231868005,376966.7013289547
2016-12-31,0,2,0,5178,2608,1689047,83,22,422868.3601275527,388790.4623878353
2017-01-31,0,2,0,4446,2789,1126273,51,21,345100.6949260383,345264.5804720054
2017-02-28,0,2,0,3454,4234,945170,87,24,284226.0406302243,303919.8216230077
2017-03-31,0,2,0,3652,4088,1777446,124,35,526889.6019253841,467267.14986821025
2017-04-30,0,2,0,1617,4547,3887738,133,30,1533797.2163933702,1040667.7165264145
2017-05-31,0,2,0,2543,8000,3216575,130,32,242677.18599848697,482106.10671381955
2017-06-30,0,2,0,6653,958,545294,381,34,81934.0465454051,140527.97987866792
2017-07-31,0,2,0,3448,4748,1214421,253,29,326197.2975296353,320257.74967143644
2017-08-31,0,2,0,4978,4281,1163914,204,26,230321.69381867428,186914.84735119462
2017-09-30,0,2,0,3507,4097,676585,131,35,206871.9620848792,261300.0390928217
2017-10-31,0,2,0,7668,374,1452392,131,31,57434.5027691053,250755.88422371153
2017-11-30,0,2,0,6815,4029,780884,193,32,63766.91648943364,-71218.15957399506
2017-12-31,0,2,0,3722,2657,1640949,87,21,618162.2037292535,528470.7811593022
2018-01-31,0,2,0,6854,4409,1600047,84,20,116683.71484266288,47662.18077384489
2018-02-28,0,2,0,3016,1915,1452157,81,22,711980.3145883748,641375.0298827182
2018-03-31,0,2,0,5106,1522,689425,162,37,207108.4084014333,292367.6828394351
2018-04-30,0,2,0,2552,7226,2241865,129,35,300214.9803919851,347946.9057339024
2018-05-31,0,2,0,1989,8420,2707014,115,31,130010.36664738724,403710.896745912
2018-06-30,0,2,0,3455,4795,1871217,323,25,496287.8169542386,449941.36534130713
2018-07-31,0,2,0,6039,2530,1940167,339,32,341554.1064830549,357455.4587652117
2018-08-31,0,2,0,4379,1433,884039,297,25,336290.12395180506,418519.3165254262
2018-09-30,0,2,0,3114,3127,1605627,197,32,639628.5723546506,542322.227431238
2018-10-31,0,2,0,5878,3911,1811407,188,38,271378.14968694927,229131.28719951617
2018-11-30,0,2,0,5176,1681,1735505,154,39,497915.0656833191,467747.63700036186
2018-12-31,0,2,0,4314,2525,640638,86,23,212253.09434974083,288372.53925926064
2019-01-31,0,2,0,4129,4808,578975,58,22,130370.3809418864,122791.64468687797
2019-02-28,0,2,0,5352,4960,1624065,65,23,241020.63063917725,172534.28114511922
2019-03-31,0,2,0,5852,1839,1978950,108,36,422427.6172600682,445306.4370083889
2019-04-30,0,2,0,2110,7502,2619405,128,35,320072.0074893653,460966.15661921946
2019-05-31,0,2,0,2580,6674,2777160,150,35,485436.5527802184,504978.53363699873
2019-06-30,0,2,0,3665,3993,621312,241,32,187180.04639837003,245724.19956454306
2019-07-31,0,2,0,3667,3151,1968885,338,33,692685.6231031076,570477.5366133127
2019-08-31,0,2,0,4816,3115,1570982,399,33,408569.6879628467,364623.0427674834
2019-09-30,0,2,0,5101,3571,708612,104,31,154772.61172903012,136607.9262702556
2019-10-31,0,2,0,3460,1994,1971186,104,32,870501.6681917562,672918.8402374941
2019-11-30,0,2,0,5200,2991,1378249,152,37,321835.1777328435,296757.94162612554
2019-12-31,0,2,0,3304,387,530922,55,21,298190.2903149912,545662.5418069416
2020-01-31,0,2,0,6834,3327,1436228,64,23,131711.48420590415,108773.49046164358
2020-02-29,0,2,0,5351,816,1463678,70,20,440470.8040853182,477725.26578457793
2020-03-31,0,2,0,3385,1640,636183,114,38,300030.6507497497,470126.1636880687
2020-04-30,0,2,0,3420,7781,3950305,158,35,305170.4907335783,552203.0258379172
2020-05-31,0,2,0,2670,8840,3382655,133,36,38830.32744289474,424332.8084728264
2020-06-30,0,2,0,7914,480,1951543,389,29,19402.580580942955,315851.4452580689
2020-07-31,0,2,0,3014,1512,1921741,323,33,996244.7992286008,755972.8942366607
2020-08-31,0,2,0,4513,3672,1330910,276,32,343182.6862503564,307151.4750881061
2020-09-30,0,2,0,4403,4613,1876725,175,30,410950.335905961,346682.33702040813
2020-10-31,0,2,0,6744,2563,1019802,128,34,114334.38606811236,99148.12105633186
2020-11-30,0,2,0,3443,2897,1442507,179,36,556943.5300699829,497012.22344528977
2020-12-31,0,2,0,3369,2270,1338956,62,24,579379.6107990311,548389.152342648
2021-01-31,0,2,0,4082,4776,1964743,62,22,451206.545490903,390042.3865742878
2021-02-28,0,2,0,5656,3994,980488,64,23,159625.93737506086,94976.40674501908
2021-03-31,0,2,0,5692,952,1681921,180,30,433611.1060911144,473990.0269695925
2021-04-30,0,2,0,2896,7208,3770488,138,37,477837.2498865682,633752.3876408185
2021-05-31,0,2,0,3249,4668,3497866,177,30,999101.6250215692,748062.5038545182
2021-06-30,0,2,0,6072,3808,1374882,280,25,190921.7425379691,133370.4893141419
2021-07-31,0,2,0,7823,4918,979284,357,27,9711.91452532393,-222080.40858669247
2021-08-31,0,2,0,5520,2501,672385,238,31,150400.4152069146,170884.7193604843
2021-09-30,0,2,0,5379,3998,1359562,192,32,247321.17314161785,198270.697831791
2021-10-31,0,2,0,4800,3491,1328682,121,35,325083.8306872994,291177.6116908619
2021-11-30,0,2,0,7210,2616,1231980,149,36,86079.53448840251,82951.70561301014
2021-12-31,0,2,0,4654,4555,1802803,66,20,372061.6806519585,323097.66564174386
2022-01-31,0,2,0,6001,1890,1866776,85,22,368172.8746466773,393228.7713266343
2022-02-28,0,2,0,5286,2206,575911,97,22,147390.0954483757,200103.50787310945
2022-03-31,0,2,0,5276,316,1948619,173,31,639885.3608249477,638089.0637597432
2022-04-30,0,2,0,2688,4033,3757803,172,30,1376267.0817879566,913286.7260427328
2022-05-31,0,2,0,2963,5362,3362848,132,37,855046.1247529781,679223.8342285872
2022-06-30,0,2,0,6013,4802,960951,314,27,111174.20923956671,-20694.638409435196
2022-07-31,0,2,0,4697,3345,530294,297,34,137476.389540687,158242.09363119138
2022-08-31,0,2,0,5494,3679,993346,385,25,183796.5167965699,136937.446749844
2022-09-30,0,2,0,7364,3697,858998,187,31,40106.13367816661,-93284.10344267351
2022-10-31,0,2,0,6894,3946,896695,137,32,69476.290872607,-59777.35438831465
2022-11-30,0,2,0,6266,152,1125535,100,31,239620.4887889565,365975.02869747527
2022-12-31,0,2,0,3398,4711,1523038,78,20,417191.5135982439,396487.81106296764
2023-01-31,0,2,0,3159,4318,1567717,70,24,493182.99345752224,462759.84740129183
2023-02-28,0,2,0,3004,3195,600813,77,23,241898.5611828193,369150.67677003396
2023-03-31,0,2,0,4284,4327,1090623,150,32,262823.8855308046,235321.75581795102
2023-04-30,0,2,0,1408,5647,2173387,160,36,666538.6867122562,584823.462608714
2023-05-31,0,2,0,2855,7133,3322365,171,32,442243.0091832297,526623.6295324148
2023-06-30,0,2,0,6896,4987,1349276,386,29,82837.6052492278,-48681.25149328007
2023-07-31,0,2,0,5215,3145,1815298,295,31,410803.7828509379,369680.72510121
2023-08-31,0,2,0,4310,1340,685429,331,33,268977.5386253456,393819.74007689947
2023-09-30,0,2,0,4811,2079,1025402,112,38,314158.37421534373,347647.6076457604
2023-10-31,0,2,0,7735,2144,1405061,196,37,35190.248028836046,99701.83159803443
2023-11-30,0,2,0,6466,699,1058536,114,31,187003.86120699163,287862.01591175963
2023-12-31,0,2,0,6172,3527,1429166,50,20,198348.71322455409,166579.6871695334
2015-01-31,0,3,0,3310,1522,947426,93,20,461365.7133936624,524034.3975185553
2015-02-28,0,3,0,3408,697,1734989,83,24,918544.654701474,746756.3032087801
