Date,Crop,State,Season,Price,Arrivals,Production,Rainfall,Temperature,Demand
2017-07-31,0,0,0,6614,3035,1116995,209,26,128071.06219022795
2017-08-31,0,0,0,7973,3341,764997,171,26,1503.0484406816051
2017-09-30,0,0,0,4060,4441,572269,4,30,142654.80067054008
2017-10-31,0,0,0,3603,4633,1014696,29,34,270394.5423409772
2017-11-30,0,0,0,7516,2313,1647743,37,29,73766.71052048732
2017-12-31,0,0,0,3697,4485,1988568,17,5,536171.6702894456
2018-01-31,0,0,0,6042,3604,1673222,22,14,245250.09313351125
2018-02-28,0,0,0,5198,2385,1731343,10,14,445410.0774220793
2018-03-31,0,0,0,3631,435,1137161,15,32,590875.9939390072
2018-04-30,0,0,0,1743,8798,2024394,13,31,34674.16521431642
2018-05-31,0,0,0,1833,4701,2280100,4,38,839008.6689404424
2018-06-30,0,0,0,5311,1242,998132,281,31,289029.9595890079
2018-07-31,0,0,0,7206,1727,554348,292,28,44354.73794918991
2018-08-31,0,0,0,5413,1648,1573166,153,29,415300.6123427744
2018-09-30,0,0,0,7575,4829,795244,35,36,19479.484812726263
2018-10-31,0,0,0,6901,3135,1391543,4,36,124342.1312812917
2018-11-30,0,0,0,6973,723,1505784,38,29,177465.73079067425
2018-12-31,0,0,0,3749,4477,1653040,24,7,441096.64332814724
2019-01-31,0,0,0,4274,825,1541500,5,12,651917.5766704321
2019-02-28,0,0,0,5643,1568,710799,7,9,172809.8829517691
2019-03-31,0,0,0,4826,672,595026,9,33,218356.66301867293
2019-04-30,0,0,0,2710,7418,3132429,48,28,363096.28739180363
2019-05-31,0,0,0,1805,7431,3830055,40,39,515656.2331502833
2019-06-30,0,0,0,4784,2793,1201762,231,32,332976.4618438657
2019-07-31,0,0,0,7312,585,540707,283,27,43361.0246199682
2019-08-31,0,0,0,4269,154,1847063,294,27,846433.6397135276
2019-09-30,0,0,0,7918,2796,1180659,8,29,8138.671845282051
2019-10-31,0,0,0,5449,4209,1969477,22,26,333972.6292631802
2019-11-30,0,0,0,3037,2221,1126359,19,39,526148.9226006613
2019-12-31,0,0,0,6055,2594,937515,9,12,162075.0952002175
2020-01-31,0,0,0,3981,1732,597941,4,6,242489.89297367423
2020-02-29,0,0,0,7521,1336,1238846,14,5,62910.79943662957
2020-03-31,0,0,0,7484,261,1413299,30,29,88191.71554317148
2020-04-30,0,0,0,3109,8436,3496203,1,25,132814.63063171293
2020-05-31,0,0,0,1397,4296,2161653,37,31,932005.7468181247
2020-06-30,0,0,0,6633,4508,926207,153,33,78852.27218818323
2020-07-31,0,0,0,3954,2102,897963,270,26,347932.7423600759
2020-08-31,0,0,0,3374,3219,1146311,163,27,425564.01971065305
2020-09-30,0,0,0,3149,3829,805680,33,29,280534.70879003796
2020-10-31,0,0,0,5027,467,1658052,26,36,583936.2315811861
2020-11-30,0,0,0,5091,884,1362106,27,36,446424.2438286336
2020-12-31,0,0,0,5356,4040,1731650,3,14,315104.0766236584
2021-01-31,0,0,0,4421,1589,792034,4,13,291651.2925745055
2021-02-28,0,0,0,5042,1212,1491607,12,13,477005.41092243604
2021-03-31,0,0,0,3398,3514,1946071,22,28,682014.7184461486
2021-04-30,0,0,0,2470,4825,2078700,9,35,666059.9768063194
2021-05-31,0,0,0,1264,8019,2412777,47,35,220423.3235958794
2021-06-30,0,0,0,7555,3792,1734543,299,31,55572.51545302944
2021-07-31,0,0,0,4060,1894,1209601,263,34,470169.86943425686
2021-08-31,0,0,0,4512,4038,857599,239,32,205990.88342260668
2021-09-30,0,0,0,5577,3023,1529344,39,25,307352.82170915155
2021-10-31,0,0,0,7294,333,1810377,14,33,153453.6753156604
2021-11-30,0,0,0,4532,2249,1404868,16,36,456591.52703751257
2021-12-31,0,0,0,7558,3346,891274,14,8,30793.065184584073
2022-01-31,0,0,0,5526,1127,1880111,1,13,508292.5455690772
2022-02-28,0,0,0,5477,1677,803095,9,11,205944.21893981
2022-03-31,0,0,0,3128,3818,1803336,22,36,631976.9102731491
2022-04-30,0,0,0,2298,4917,3307036,4,35,1068509.6094145828
2022-05-31,0,0,0,3014,5256,3580997,36,30,927587.5020794108
2022-06-30,0,0,0,7647,3545,968433,187,27,25750.794387729784
2022-07-31,0,0,0,6536,1352,1294101,259,27,201000.36105004567
2022-08-31,0,0,0,3209,4835,1883344,216,25,521537.1543074763
2022-09-30,0,0,0,7361,3643,1711630,4,35,81111.5796614523
2022-10-31,0,0,0,3954,1288,1918112,17,37,830974.8901941441
2022-11-30,0,0,0,5616,1145,1374799,20,31,357328.82722209184
2022-12-31,0,0,0,4081,742,1638920,25,11,736445.4854530754
2023-01-31,0,0,0,3235,4704,1897191,6,5,538973.7132073875
2023-02-28,0,0,0,5937,4888,650527,22,8,76539.47055036412
2023-03-31,0,0,0,6084,1896,1939651,4,34,366336.4535879106
2023-04-30,0,0,0,1857,7178,3459654,39,29,536591.9145689423
2023-05-31,0,0,0,3359,5207,2724125,27,38,665393.8878619042
2023-06-30,0,0,0,3108,2807,1805674,154,27,759479.2998093882
2023-07-31,0,0,0,5920,3927,989699,278,33,144878.09052730113
2023-08-31,0,0,0,5807,581,1009787,235,26,258756.99148853362
2023-09-30,0,0,0,6135,1021,707307,5,25,146054.34281769439
2023-10-31,0,0,0,5388,654,1661034,47,36,502637.14886948536
2023-11-30,0,0,0,4279,506,1847825,18,34,810888.2044659997
2023-12-31,0,0,0,7964,4827,950872,24,10,1873.035975280648
2015-01-31,0,1,0,4496,3969,1093823,19,13,267610.4754620562
2015-02-28,0,1,0,6982,2228,1003655,13,9,95916.15690415096
2015-03-31,0,1,0,7539,4986,1373030,22,39,35119.32828857575
2015-04-30,0,1,0,2357,5920,3100683,35,27,747611.5814560227
2015-05-31,0,1,0,2840,5327,2400891,49,39,631394.1313803159
2015-06-30,0,1,0,6780,2417,1460758,206,29,162681.01126215412
2015-07-31,0,1,0,5272,4244,657726,207,30,118405.89485998514
2015-08-31,0,1,0,7710,2985,1984209,193,32,47738.83401256102
2015-09-30,0,1,0,3577,3320,1478496,36,39,515613.1289742947
2015-10-31,0,1,0,3913,1046,1117339,24,31,504320.87871099234
2015-11-30,0,1,0,5838,4172,1382329,8,37,200170.40358922415
2015-12-31,0,1,0,6741,4840,613560,11,8,44543.134708079466
2016-01-31,0,1,0,6183,3627,1513770,27,14,205005.94865781482
2016-02-29,0,1,0,6762,504,1219653,20,12,177922.5656612597
2016-03-31,0,1,0,3126,1055,1049312,6,25,564221.7895796906
2016-04-30,0,1,0,1406,6954,3203824,5,39,599164.79308999
2016-05-31,0,1,0,3286,6303,3065860,4,36,540567.6961964227
2016-06-30,0,1,0,7680,4451,958796,290,25,19257.90716206012
2016-07-31,0,1,0,5438,4256,1319530,261,32,222517.0916853727
2016-08-31,0,1,0,7551,236,1442914,290,27,78527.16688791431
2016-09-30,0,1,0,5376,3013,1289079,7,31,281045.1286461972
2016-10-31,0,1,0,3840,4957,598427,8,28,139662.37145317456
2016-11-30,0,1,0,3037,1082,723681,16,37,394888.96324460494
2016-12-31,0,1,0,7998,2319,751261,26,9,0.0
2017-01-31,0,1,0,4533,2000,1951889,21,5,657602.5776604657
2017-02-28,0,1,0,3847,1740,1645670,9,7,688890.7206422228
2017-03-31,0,1,0,4541,2555,1779871,22,26,550796.543809104
2017-04-30,0,1,0,2221,5321,2267082,41,26,668846.071874222
2017-05-31,0,1,0,1336,5249,3288685,5,34,1140806.8267013945
2017-06-30,0,1,0,7285,3605,738948,185,30,39473.860827074495
2017-07-31,0,1,0,5354,2965,856660,153,28,189847.41337085248
2017-08-31,0,1,0,6218,2962,1374264,299,28,205135.54997087235
2017-09-30,0,1,0,3998,1265,1295119,7,36,556629.9785062998
2017-10-31,0,1,0,3577,2484,713544,22,34,285500.18986492034
2017-11-30,0,1,0,5400,2146,1740573,48,28,430502.80734783475
2017-12-31,0,1,0,5358,538,1507494,21,11,467835.617063243
2018-01-31,0,1,0,3505,3196,1382627,0,6,500739.6638026794
2018-02-28,0,1,0,4997,2817,1947697,13,7,501941.06433870835
2018-03-31,0,1,0,5152,2524,913603,8,32,233873.62386730642
2018-04-30,0,1,0,1478,7821,3265388,33,32,347430.48099768127
2018-05-31,0,1,0,3146,6347,2876697,9,29,513748.2149708076
2018-06-30,0,1,0,4874,4449,1155027,192,26,228007.9687238096
2018-07-31,0,1,0,6194,4496,1995715,177,25,225148.20061518988
2018-08-31,0,1,0,4781,1781,1061003,161,33,342264.01709257223
2018-09-30,0,1,0,7894,3716,1006095,28,36,7677.881845669852
2018-10-31,0,1,0,6127,2880,1386057,36,32,220429.0210463261
2018-11-30,0,1,0,7928,2690,1480834,34,27,9084.623655913945
2018-12-31,0,1,0,4298,960,1035945,5,11,428096.55829048983
2019-01-31,0,1,0,6774,846,1080400,3,11,149791.69793004118
2019-02-28,0,1,0,4330,2212,1509312,18,5,521972.4743543862
2019-03-31,0,1,0,6105,1808,650371,16,37,122991.99871759217
2019-04-30,0,1,0,1790,8313,3604312,41,39,212117.20366267208
2019-05-31,0,1,0,2984,8453,3160014,5,39,119368.58764763453
2019-06-30,0,1,0,7346,404,698153,256,33,54357.48514388184
2019-07-31,0,1,0,7352,3667,892792,269,30,42713.430877118924
2019-08-31,0,1,0,4594,2897,1503170,250,34,433713.0637111751
2019-09-30,0,1,0,5465,2086,618215,30,26,150385.98105411566
2019-10-31,0,1,0,3519,1718,1990463,37,34,901789.094372384
2019-11-30,0,1,0,5950,2336,610018,35,36,115637.59474298813
2019-12-31,0,1,0,6932,2315,1884991,26,10,186577.97734703272
2020-01-31,0,1,0,6959,1035,1852158,7,5,212923.7369030974
2020-02-29,0,1,0,7209,716,1809321,18,8,164281.22863193566
2020-03-31,0,1,0,4333,2608,1392513,19,34,453093.2433791465
2020-04-30,0,1,0,2451,4891,2317426,2,27,733312.0570065809
2020-05-31,0,1,0,1674,5776,2340156,11,35,662178.5063433172
2020-06-30,0,1,0,4865,1919,1254392,243,29,386543.99178360455
2020-07-31,0,1,0,3080,1050,553004,242,31,300350.34222758026
2020-08-31,0,1,0,7987,292,1866575,176,27,2483.8453147888667
2020-09-30,0,1,0,7348,3997,1849152,37,36,83502.53353221573
2020-10-31,0,1,0,6609,1209,1385384,22,39,208259.22372110537
2020-11-30,0,1,0,6886,2992,1856503,18,36,172260.70428123986
2020-12-31,0,1,0,6833,3246,1543467,19,12,143692.14075607562
2021-01-31,0,1,0,4124,4160,1759074,24,9,457991.7309574754
2021-02-28,0,1,0,6396,2738,785700,17,10,109471.94955770626
2021-03-31,0,1,0,5498,4930,1707354,30,39,241180.1536404112
2021-04-30,0,1,0,2286,8065,2451580,14,33,181023.37164057544
2021-05-31,0,1,0,1399,5124,3415502,26,29,1212755.5650579962
2021-06-30,0,1,0,6446,3052,858602,171,29,110079.582940093
2021-07-31,0,1,0,4097,2159,783152,249,25,290296.2984752859
2021-08-31,0,1,0,3518,1580,1480829,257,26,683772.3149075207
2021-09-30,0,1,0,6605,107,688411,7,26,118473.2755788169
2021-10-31,0,1,0,3045,4845,1318105,41,32,376603.0775307779
2021-11-30,0,1,0,4515,1258,846685,25,27,317150.47753232083
2021-12-31,0,1,0,6854,791,1735251,15,5,226376.53701051726
2022-01-31,0,1,0,3850,1403,608331,20,11,266288.4488895432
2022-02-28,0,1,0,6806,1131,535021,25,12,69712.07687480513
2022-03-31,0,1,0,5199,1132,708879,35,34,216860.63122260553
2022-04-30,0,1,0,1468,7905,2426147,18,34,240034.80722737662
2022-05-31,0,1,0,1397,8627,3235219,40,38,109239.23960133994
2022-06-30,0,1,0,7812,151,1617668,171,33,36988.652072857076
2022-07-31,0,1,0,6577,2506,1442799,249,25,184924.78278450939
2022-08-31,0,1,0,5463,2423,673858,202,30,156049.1256382745
2022-09-30,0,1,0,6464,1711,898295,2,31,139518.4721210875
2022-10-31,0,1,0,3601,4138,1835423,28,37,544851.5255532478
2022-11-30,0,1,0,4850,432,1931874,45,28,723863.8657882368
2022-12-31,0,1,0,3586,1656,1839706,0,5,828015.0846161791
2023-01-31,0,1,0,6220,1591,1384116,0,11,253272.52975267163
2023-02-28,0,1,0,7940,3293,743279,4,6,3416.838892380117
2023-03-31,0,1,0,6085,2643,1576395,16,33,266261.2341456681
2023-04-30,0,1,0,2702,5989,3618436,18,27,800710.0523092975
2023-05-31,0,1,0,2279,7374,3483790,25,33,448923.6777122297
2023-06-30,0,1,0,3585,3586,1745261,280,27,579066.8791897391
2023-07-31,0,1,0,4541,2721,1343083,283,33,404915.29190099076
2023-08-31,0,1,0,3235,877,524771,218,25,282044.0147309479
2023-09-30,0,1,0,6965,613,1557634,32,28,187469.58971821892
2023-10-31,0,1,0,3397,3916,1914020,5,28,621719.3010812459
2023-11-30,0,1,0,4491,4419,1894191,8,33,422535.2861577262
2023-12-31,0,1,0,7374,4403,1628273,17,6,64853.15715232305
2015-01-31,0,2,0,3880,3684,1420393,55,21,431805.92736169044
2015-02-28,0,2,0,7536,1785,1378058,85,24,63806.0954810687
2015-03-31,0,2,0,7993,3208,1761385,164,38,708.4271759295658
2015-04-30,0,2,0,3430,6179,3310593,131,33,591945.8370482561
2015-05-31,0,2,0,2032,6307,3005833,132,37,670030.8419859831
2015-06-30,0,2,0,3995,937,1101925,262,33,494062.9895515846
2015-07-31,0,2,0,3223,4922,1097497,364,32,296693.86102466413
2015-08-31,0,2,0,7804,2327,868298,397,28,15612.899144964116
2015-09-30,0,2,0,7350,2318,547454,112,35,32924.67130101037
2015-10-31,0,2,0,6220,2781,970167,181,31,148993.36754928032
2015-11-30,0,2,0,7319,749,1211120,102,38,94257.88990438276
2015-12-31,0,2,0,3589,574,1312335,83,24,677276.3495392331
2016-01-31,0,2,0,7355,3409,1070950,61,24,53468.56541956499
2016-02-29,0,2,0,3228,684,1596997,63,24,880021.3207775262
2016-03-31,0,2,0,5758,4615,659338,131,36,89918.21309412958
2016-04-30,0,2,0,2830,4990,3792257,160,32,1091038.8606723663
2016-05-31,0,2,0,1774,6357,2549016,170,39,581747.2904995565
2016-06-30,0,2,0,5308,4990,1546473,381,30,231587.21228180864
2016-07-31,0,2,0,4489,3441,1182864,313,25,320436.13927250577
2016-08-31,0,2,0,5111,3056,734563,302,33,175067.92762335943
2016-09-30,0,2,0,7807,4919,688800,101,32,7453.806486641116
2016-10-31,0,2,0,6885,3900,1403428,174,31,110623.37957446561
2016-11-30,0,2,0,5526,982,1220063,199,36,335925.75231868005
2016-12-31,0,2,0,5178,2608,1689047,83,22,422868.3601275527
2017-01-31,0,2,0,4446,2789,1126273,51,21,345100.6949260383
2017-02-28,0,2,0,3454,4234,945170,87,24,284226.0406302243
2017-03-31,0,2,0,3652,4088,1777446,124,35,526889.6019253841
2017-04-30,0,2,0,1617,4547,3887738,133,30,1533797.2163933702
2017-05-31,0,2,0,2543,8000,3216575,130,32,242677.18599848697
2017-06-30,0,2,0,6653,958,545294,381,34,81934.0465454051
2017-07-31,0,2,0,3448,4748,1214421,253,29,326197.2975296353
2017-08-31,0,2,0,4978,4281,1163914,204,26,230321.69381867428
2017-09-30,0,2,0,3507,4097,676585,131,35,206871.9620848792
2017-10-31,0,2,0,7668,374,1452392,131,31,57434.502769105304
2017-11-30,0,2,0,6815,4029,780884,193,32,63766.91648943364
2017-12-31,0,2,0,3722,2657,1640949,87,21,618162.2037292535
2018-01-31,0,2,0,6854,4409,1600047,84,20,116683.71484266288
2018-02-28,0,2,0,3016,1915,1452157,81,22,711980.3145883748
2018-03-31,0,2,0,5106,1522,689425,162,37,207108.4084014333
2018-04-30,0,2,0,2552,7226,2241865,129,35,300214.9803919851
2018-05-31,0,2,0,1989,8420,2707014,115,31,130010.36664738724
2018-06-30,0,2,0,3455,4795,1871217,323,25,496287.81695423863
2018-07-31,0,2,0,6039,2530,1940167,339,32,341554.1064830549
2018-08-31,0,2,0,4379,1433,884039,297,25,336290.12395180506
2018-09-30,0,2,0,3114,3127,1605627,197,32,639628.5723546506
2018-10-31,0,2,0,5878,3911,1811407,188,38,271378.14968694927
2018-11-30,0,2,0,5176,1681,1735505,154,39,497915.0656833191
2018-12-31,0,2,0,4314,2525,640638,86,23,212253.09434974083
2019-01-31,0,2,0,4129,4808,578975,58,22,130370.3809418864
2019-02-28,0,2,0,5352,4960,1624065,65,23,241020.63063917725
2019-03-31,0,2,0,5852,1839,1978950,108,36,422427.6172600682
2019-04-30,0,2,0,2110,7502,2619405,128,35,320072.00748936535
2019-05-31,0,2,0,2580,6674,2777160,150,35,485436.5527802184
2019-06-30,0,2,0,3665,3993,621312,241,32,187180.04639837003
2019-07-31,0,2,0,3667,3151,1968885,338,33,692685.6231031076
2019-08-31,0,2,0,4816,3115,1570982,399,33,408569.6879628467
2019-09-30,0,2,0,5101,3571,708612,104,31,154772.61172903012
2019-10-31,0,2,0,3460,1994,1971186,104,32,870501.6681917562
2019-11-30,0,2,0,5200,2991,1378249,152,37,321835.1777328435
2019-12-31,0,2,0,3304,387,530922,55,21,298190.2903149912
2020-01-31,0,2,0,6834,3327,1436228,64,23,131711.48420590415
2020-02-29,0,2,0,5351,816,1463678,70,20,440470.8040853182
2020-03-31,0,2,0,3385,1640,636183,114,38,300030.6507497497
2020-04-30,0,2,0,3420,7781,3950305,158,35,305170.4907335783
2020-05-31,0,2,0,2670,8840,3382655,133,36,38830.32744289474
2020-06-30,0,2,0,7914,480,1951543,389,29,19402.580580942955
2020-07-31,0,2,0,3014,1512,1921741,323,33,996244.7992286008
2020-08-31,0,2,0,4513,3672,1330910,276,32,343182.6862503564
2020-09-30,0,2,0,4403,4613,1876725,175,30,410950.335905961
2020-10-31,0,2,0,6744,2563,1019802,128,34,114334.38606811236
2020-11-30,0,2,0,3443,2897,1442507,179,36,556943.5300699829
2020-12-31,0,2,0,3369,2270,1338956,62,24,579379.6107990311
2021-01-31,0,2,0,4082,4776,1964743,62,22,451206.545490903
2021-02-28,0,2,0,5656,3994,980488,64,23,159625.93737506086
2021-03-31,0,2,0,5692,952,1681921,180,30,433611.10609111434
2021-04-30,0,2,0,2896,7208,3770488,138,37,477837.2498865682
2021-05-31,0,2,0,3249,4668,3497866,177,30,999101.6250215693
2021-06-30,0,2,0,6072,3808,1374882,280,25,190921.7425379691
2021-07-31,0,2,0,7823,4918,979284,357,27,9711.91452532393
2021-08-31,0,2,0,5520,2501,672385,238,31,150400.4152069146
2021-09-30,0,2,0,5379,3998,1359562,192,32,247321.17314161782
2021-10-31,0,2,0,4800,3491,1328682,121,35,325083.8306872994
2021-11-30,0,2,0,7210,2616,1231980,149,36,86079.53448840251
2021-12-31,0,2,0,4654,4555,1802803,66,20,372061.68065195845
2022-01-31,0,2,0,6001,1890,1866776,85,22,368172.8746466773
2022-02-28,0,2,0,5286,2206,575911,97,22,147390.0954483757
2022-03-31,0,2,0,5276,316,1948619,173,31,639885.3608249477
2022-04-30,0,2,0,2688,4033,3757803,172,30,1376267.0817879566
2022-05-31,0,2,0,2963,5362,3362848,132,37,855046.1247529781
2022-06-30,0,2,0,6013,4802,960951,314,27,111174.20923956671
2022-07-31,0,2,0,4697,3345,530294,297,34,137476.389540687
2022-08-31,0,2,0,5494,3679,993346,385,25,183796.5167965699
2022-09-30,0,2,0,7364,3697,858998,187,31,40106.13367816661
2022-10-31,0,2,0,6894,3946,896695,137,32,69476.290872607
2022-11-30,0,2,0,6266,152,1125535,100,31,239620.48878895654
2022-12-31,0,2,0,3398,4711,1523038,78,20,417191.5135982439
2023-01-31,0,2,0,3159,4318,1567717,70,24,493182.99345752224
2023-02-28,0,2,0,3004,3195,600813,77,23,241898.5611828193
2023-03-31,0,2,0,4284,4327,1090623,150,32,262823.8855308046
2023-04-30,0,2,0,1408,5647,2173387,160,36,666538.6867122562
2023-05-31,0,2,0,2855,7133,3322365,171,32,442243.0091832297
2023-06-30,0,2,0,6896,4987,1349276,386,29,82837.6052492278
2023-07-31,0,2,0,5215,3145,1815298,295,31,410803.7828509379
2023-08-31,0,2,0,4310,1340,685429,331,33,268977.5386253456
2023-09-30,0,2,0,4811,2079,1025402,112,38,314158.37421534373
2023-10-31,0,2,0,7735,2144,1405061,196,37,35190.248028836046
2023-11-30,0,2,0,6466,699,1058536,114,31,187003.86120699163
2023-12-31,0,2,0,6172,3527,1429166,50,20,198348.71322455406
2015-01-31,0,3,0,3310,1522,947426,93,20,461365.7133936624
2015-02-28,0,3,0,3408,697,1734989,83,24,918544.6547014741
2015-03-31,0,3,0,3576,976,1401960,163,35,691022.2112960145
2015-04-30,0,3,0,1609,7172,2001627,164,32,324056.05442729493
2015-05-31,0,3,0,3020,4449,3998971,101,33,1257911.2780188932
2015-06-30,0,3,0,5488,4552,1240799,282,25,192339.685700608
2015-07-31,0,3,0,3923,3959,1567100,321,34,447020.5387644855
2015-08-31,0,3,0,5466,4798,1579634,207,32,233333.22087798212
2015-09-30,0,3,0,4734,3465,965835,179,30,242323.56703961987
2015-10-31,0,3,0,3459,912,1557009,185,32,794038.0552007512
2015-11-30,0,3,0,3026,3620,1895063,169,35,703964.3616226456
2015-12-31,0,3,0,4321,1347,1926329,55,23,752990.3394968254
2016-01-31,0,3,0,4307,995,627868,53,23,257703.20156470468
2016-02-29,0,3,0,4915,1994,1176988,53,23,353120.61314389185
2016-03-31,0,3,0,7817,1010,657766,190,31,13214.244824546864
2016-04-30,0,3,0,3334,6623,3919874,119,37,602785.4576344474
2016-05-31,0,3,0,1552,8995,2562313,118,35,0.0
2016-06-30,0,3,0,5854,3606,1028776,357,30,165223.27308364055
2016-07-31,0,3,0,4714,1361,1769089,221,26,616484.8646706423
2016-08-31,0,3,0,4334,3734,765058,282,25,204991.3615929274
2016-09-30,0,3,0,6279,3820,592213,152,32,73228.74646850984
2016-10-31,0,3,0,5282,1719,613840,100,33,168614.56005246445
2016-11-30,0,3,0,6321,213,641187,159,38,131258.862525776
2016-12-31,0,3,0,3400,1211,1980856,86,20,985467.1048555914
2017-01-31,0,3,0,3844,4886,1913501,97,23,453992.5848580823
2017-02-28,0,3,0,3438,147,537755,70,23,301586.46463172213
2017-03-31,0,3,0,5131,526,1585919,125,34,535251.9528928507
2017-04-30,0,3,0,2936,5674,2859978,180,36,668299.5078974859
2017-05-31,0,3,0,1612,4349,2184140,156,34,900753.6377401743
2017-06-30,0,3,0,7249,3202,1257084,294,25,75817.08408463984
2017-07-31,0,3,0,3583,4425,1342425,339,26,376490.8032698836
2017-08-31,0,3,0,3811,2481,1939487,262,28,735283.8389901255
2017-09-30,0,3,0,7431,1312,1159253,152,37,70195.5454543597
2017-10-31,0,3,0,5697,2413,1148141,142,39,241705.8462317358
2017-11-30,0,3,0,5643,2337,862580,188,36,187997.2597679715
2017-12-31,0,3,0,6177,4988,742218,60,22,75279.75608196101
2018-01-31,0,3,0,3113,2429,1417336,79,20,631910.6825033106
2018-02-28,0,3,0,7573,564,524399,78,20,26118.44438075889
2018-03-31,0,3,0,3672,648,882602,125,38,442995.45280211105
2018-04-30,0,3,0,2999,8391,2851411,198,37,119673.31699178267
2018-05-31,0,3,0,3252,5807,2773104,164,33,583216.2772459652
2018-06-30,0,3,0,7591,4163,578616,254,25,15817.185430098494
2018-07-31,0,3,0,6768,4323,1767204,298,34,141160.13464511206
2018-08-31,0,3,0,3972,4332,1305500,396,30,340669.689504088
2018-09-30,0,3,0,4351,4715,704444,126,30,152842.25596476937
2018-10-31,0,3,0,6587,138,665171,105,38,115548.52277295283
2018-11-30,0,3,0,4082,4707,906273,196,32,211530.95683014693
2018-12-31,0,3,0,4813,537,1563164,99,22,585327.7235612405
2019-01-31,0,3,0,5432,1666,1270140,50,20,332024.7050361812
2019-02-28,0,3,0,3706,1335,1643967,53,23,751275.1276790848
2019-03-31,0,3,0,3707,3417,1932616,168,34,642983.7951145374
2019-04-30,0,3,0,3432,7250,2340095,139,33,259168.52654867436
2019-05-31,0,3,0,3247,6428,2977650,141,33,504779.814882153
2019-06-30,0,3,0,4360,779,647235,338,28,268907.2751912269
2019-07-31,0,3,0,7423,3622,1512577,222,30,64956.05039496391
2019-08-31,0,3,0,3890,3804,1855984,237,30,550139.8747957138
2019-09-30,0,3,0,5797,1386,522769,176,37,121695.60254878899
2019-10-31,0,3,0,3813,4180,1661210,114,31,465300.7184223794
2019-11-30,0,3,0,3189,2861,982061,195,36,402674.7945291771
2019-12-31,0,3,0,7556,4614,1035273,68,20,27865.564330854835
2020-01-31,0,3,0,7326,785,1294338,75,20,99260.7527446064
2020-02-29,0,3,0,6007,3449,904279,69,22,138794.099386353
2020-03-31,0,3,0,4607,1368,1658527,126,33,596240.5580513944
2020-04-30,0,3,0,2577,4686,3578342,171,39,1161863.6906369168
2020-05-31,0,3,0,1511,7570,2905913,177,36,373386.6641226037
2020-06-30,0,3,0,5583,1647,1226428,285,34,302514.20497926034
2020-07-31,0,3,0,3123,2772,1817487,207,32,766413.536470207
2020-08-31,0,3,0,5875,766,1193348,271,30,289788.80141263775
2020-09-30,0,3,0,7477,4766,978747,155,34,29975.282506326977
2020-10-31,0,3,0,5084,4337,1743254,143,30,328902.4696786758
2020-11-30,0,3,0,7671,2581,1196423,117,30,34880.194185483575
2020-12-31,0,3,0,6371,4042,876234,69,23,98150.70293774111
2021-01-31,0,3,0,7149,4776,1429973,96,23,71197.12971409888
2021-02-28,0,3,0,7210,2687,1260101,70,22,87064.41592477048
2021-03-31,0,3,0,6389,1754,910864,126,38,147511.39222293068
2021-04-30,0,3,0,2128,4202,3855020,112,33,1507612.0440365786
2021-05-31,0,3,0,3369,7967,2569997,108,34,169992.7283678063
2021-06-30,0,3,0,6405,4501,1301120,300,34,129474.31709289191
2021-07-31,0,3,0,3681,3669,1488034,365,29,475568.95665867557
