Date,Crop,State,Season,Price,Arrivals,Production,Rainfall,Temperature
2021-05-31,Other Rabi pulses,Punjab,Rabi,1264,8019,2412777,47,35
2021-06-30,Other Rabi pulses,Punjab,Rabi,7555,3792,1734543,299,31
2021-07-31,Other Rabi pulses,Punjab,Rabi,4060,1894,1209601,263,34
2021-08-31,Other Rabi pulses,Punjab,Rabi,4512,4038,857599,239,32
2021-09-30,Other Rabi pulses,Punjab,Rabi,5577,3023,1529344,39,25
2021-10-31,Other Rabi pulses,Punjab,Rabi,7294,333,1810377,14,33
2021-11-30,Other Rabi pulses,Punjab,Rabi,4532,2249,1404868,16,36
2021-12-31,Other Rabi pulses,Punjab,Rabi,7558,3346,891274,14,8
2022-01-31,Other Rabi pulses,Punjab,Rabi,5526,1127,1880111,1,13
2022-02-28,Other Rabi pulses,Punjab,Rabi,5477,1677,803095,9,11
2022-03-31,Other Rabi pulses,Punjab,Rabi,3128,3818,1803336,22,36
2022-04-30,Other Rabi pulses,Punjab,Rabi,2298,4917,3307036,4,35
2022-05-31,Other Rabi pulses,Punjab,Rabi,3014,5256,3580997,36,30
2022-06-30,Other Rabi pulses,Punjab,Rabi,7647,3545,968433,187,27
2022-07-31,Other Rabi pulses,Punjab,Rabi,6536,1352,1294101,259,27
2022-08-31,Other Rabi pulses,Punjab,Rabi,3209,4835,1883344,216,25
2022-09-30,Other Rabi pulses,Punjab,Rabi,7361,3643,1711630,4,35
2022-10-31,Other Rabi pulses,Punjab,Rabi,3954,1288,1918112,17,37
2022-11-30,Other Rabi pulses,Punjab,Rabi,5616,1145,1374799,20,31
2022-12-31,Other Rabi pulses,Punjab,Rabi,4081,742,1638920,25,11
2023-01-31,Other Rabi pulses,Punjab,Rabi,3235,4704,1897191,6,5
2023-02-28,Other Rabi pulses,Punjab,Rabi,5937,4888,650527,22,8
2023-03-31,Other Rabi pulses,Punjab,Rabi,6084,1896,1939651,4,34
2023-04-30,Other Rabi pulses,Punjab,Rabi,1857,7178,3459654,39,29
2023-05-31,Other Rabi pulses,Punjab,Rabi,3359,5207,2724125,27,38
2023-06-30,Other Rabi pulses,Punjab,Rabi,3108,2807,1805674,154,27
2023-07-31,Other Rabi pulses,Punjab,Rabi,5920,3927,989699,278,33
2023-08-31,Other Rabi pulses,Punjab,Rabi,5807,581,1009787,235,26
2023-09-30,Other Rabi pulses,Punjab,Rabi,6135,1021,707307,5,25
2023-10-31,Other Rabi pulses,Punjab,Rabi,5388,654,1661034,47,36
2023-11-30,Other Rabi pulses,Punjab,Rabi,4279,506,1847825,18,34
2023-12-31,Other Rabi pulses,Punjab,Rabi,7964,4827,950872,24,10
2015-01-31,Other Rabi pulses,Haryana,Rabi,4496,3969,1093823,19,13
2015-02-28,Other Rabi pulses,Haryana,Rabi,6982,2228,1003655,13,9
2015-03-31,Other Rabi pulses,Haryana,Rabi,7539,4986,1373030,22,39
2015-04-30,Other Rabi pulses,Haryana,Rabi,2357,5920,3100683,35,27
2015-05-31,Other Rabi pulses,Haryana,Rabi,2840,5327,2400891,49,39
2015-06-30,Other Rabi pulses,Haryana,Rabi,6780,2417,1460758,206,29
2015-07-31,Other Rabi pulses,Haryana,Rabi,5272,4244,657726,207,30
2015-08-31,Other Rabi pulses,Haryana,Rabi,7710,2985,1984209,193,32
2015-09-30,Other Rabi pulses,Haryana,Rabi,3577,3320,1478496,36,39
2015-10-31,Other Rabi pulses,Haryana,Rabi,3913,1046,1117339,24,31
2015-11-30,Other Rabi pulses,Haryana,Rabi,5838,4172,1382329,8,37
2015-12-31,Other Rabi pulses,Haryana,Rabi,6741,4840,613560,11,8
2016-01-31,Other Rabi pulses,Haryana,Rabi,6183,3627,1513770,27,14
2016-02-29,Other Rabi pulses,Haryana,Rabi,6762,504,1219653,20,12
2016-03-31,Other Rabi pulses,Haryana,Rabi,3126,1055,1049312,6,25
2016-04-30,Other Rabi pulses,Haryana,Rabi,1406,6954,3203824,5,39
2016-05-31,Other Rabi pulses,Haryana,Rabi,3286,6303,3065860,4,36
2016-06-30,Other Rabi pulses,Haryana,Rabi,7680,4451,958796,290,25
2016-07-31,Other Rabi pulses,Haryana,Rabi,5438,4256,1319530,261,32
2016-08-31,Other Rabi pulses,Haryana,Rabi,7551,236,1442914,290,27
2016-09-30,Other Rabi pulses,Haryana,Rabi,5376,3013,1289079,7,31
2016-10-31,Other Rabi pulses,Haryana,Rabi,3840,4957,598427,8,28
2016-11-30,Other Rabi pulses,Haryana,Rabi,3037,1082,723681,16,37
2016-12-31,Other Rabi pulses,Haryana,Rabi,7998,2319,751261,26,9
2017-01-31,Other Rabi pulses,Haryana,Rabi,4533,2000,1951889,21,5
2017-02-28,Other Rabi pulses,Haryana,Rabi,3847,1740,1645670,9,7
2017-03-31,Other Rabi pulses,Haryana,Rabi,4541,2555,1779871,22,26
2017-04-30,Other Rabi pulses,Haryana,Rabi,2221,5321,2267082,41,26
2017-05-31,Other Rabi pulses,Haryana,Rabi,1336,5249,3288685,5,34
2017-06-30,Other Rabi pulses,Haryana,Rabi,7285,3605,738948,185,30
2017-07-31,Other Rabi pulses,Haryana,Rabi,5354,2965,856660,153,28
2017-08-31,Other Rabi pulses,Haryana,Rabi,6218,2962,1374264,299,28
2017-09-30,Other Rabi pulses,Haryana,Rabi,3998,1265,1295119,7,36
2017-10-31,Other Rabi pulses,Haryana,Rabi,3577,2484,713544,22,34
2017-11-30,Other Rabi pulses,Haryana,Rabi,5400,2146,1740573,48,28
2017-12-31,Other Rabi pulses,Haryana,Rabi,5358,538,1507494,21,11
2018-01-31,Other Rabi pulses,Haryana,Rabi,3505,3196,1382627,0,6
2018-02-28,Other Rabi pulses,Haryana,Rabi,4997,2817,1947697,13,7
2018-03-31,Other Rabi pulses,Haryana,Rabi,5152,2524,913603,8,32
2018-04-30,Other Rabi pulses,Haryana,Rabi,1478,7821,3265388,33,32
2018-05-31,Other Rabi pulses,Haryana,Rabi,3146,6347,2876697,9,29
2018-06-30,Other Rabi pulses,Haryana,Rabi,4874,4449,1155027,192,26
2018-07-31,Other Rabi pulses,Haryana,Rabi,6194,4496,1995715,177,25
2018-08-31,Other Rabi pulses,Haryana,Rabi,4781,1781,1061003,161,33
2018-09-30,Other Rabi pulses,Haryana,Rabi,7894,3716,1006095,28,36
2018-10-31,Other Rabi pulses,Haryana,Rabi,6127,2880,1386057,36,32
2018-11-30,Other Rabi pulses,Haryana,Rabi,7928,2690,1480834,34,27
2018-12-31,Other Rabi pulses,Haryana,Rabi,4298,960,1035945,5,11
2019-01-31,Other Rabi pulses,Haryana,Rabi,6774,846,1080400,3,11
2019-02-28,Other Rabi pulses,Haryana,Rabi,4330,2212,1509312,18,5
2019-03-31,Other Rabi pulses,Haryana,Rabi,6105,1808,650371,16,37
2019-04-30,Other Rabi pulses,Haryana,Rabi,1790,8313,3604312,41,39
2019-05-31,Other Rabi pulses,Haryana,Rabi,2984,8453,3160014,5,39
2019-06-30,Other Rabi pulses,Haryana,Rabi,7346,404,698153,256,33
2019-07-31,Other Rabi pulses,Haryana,Rabi,7352,3667,892792,269,30
2019-08-31,Other Rabi pulses,Haryana,Rabi,4594,2897,1503170,250,34
2019-09-30,Other Rabi pulses,Haryana,Rabi,5465,2086,618215,30,26
2019-10-31,Other Rabi pulses,Haryana,Rabi,3519,1718,1990463,37,34
2019-11-30,Other Rabi pulses,Haryana,Rabi,5950,2336,610018,35,36
2019-12-31,Other Rabi pulses,Haryana,Rabi,6932,2315,1884991,26,10
2020-01-31,Other Rabi pulses,Haryana,Rabi,6959,1035,1852158,7,5
2020-02-29,Other Rabi pulses,Haryana,Rabi,7209,716,1809321,18,8
2020-03-31,Other Rabi pulses,Haryana,Rabi,4333,2608,1392513,19,34
2020-04-30,Other Rabi pulses,Haryana,Rabi,2451,4891,2317426,2,27
2020-05-31,Other Rabi pulses,Haryana,Rabi,1674,5776,2340156,11,35
2020-06-30,Other Rabi pulses,Haryana,Rabi,4865,1919,1254392,243,29
2020-07-31,Other Rabi pulses,Haryana,Rabi,3080,1050,553004,242,31
2020-08-31,Other Rabi pulses,Haryana,Rabi,7987,292,1866575,176,27
2020-09-30,Other Rabi pulses,Haryana,Rabi,7348,3997,1849152,37,36
2020-10-31,Other Rabi pulses,Haryana,Rabi,6609,1209,1385384,22,39
2020-11-30,Other Rabi pulses,Haryana,Rabi,6886,2992,1856503,18,36
2020-12-31,Other Rabi pulses,Haryana,Rabi,6833,3246,1543467,19,12
2021-01-31,Other Rabi pulses,Haryana,Rabi,4124,4160,1759074,24,9
2021-02-28,Other Rabi pulses,Haryana,Rabi,6396,2738,785700,17,10
2021-03-31,Other Rabi pulses,Haryana,Rabi,5498,4930,1707354,30,39
2021-04-30,Other Rabi pulses,Haryana,Rabi,2286,8065,2451580,14,33
2021-05-31,Other Rabi pulses,Haryana,Rabi,1399,5124,3415502,26,29
2021-06-30,Other Rabi pulses,Haryana,Rabi,6446,3052,858602,171,29
2021-07-31,Other Rabi pulses,Haryana,Rabi,4097,2159,783152,249,25
2021-08-31,Other Rabi pulses,Haryana,Rabi,3518,1580,1480829,257,26
2021-09-30,Other Rabi pulses,Haryana,Rabi,6605,107,688411,7,26
2021-10-31,Other Rabi pulses,Haryana,Rabi,3045,4845,1318105,41,32
2021-11-30,Other Rabi pulses,Haryana,Rabi,4515,1258,846685,25,27
2021-12-31,Other Rabi pulses,Haryana,Rabi,6854,791,1735251,15,5
2022-01-31,Other Rabi pulses,Haryana,Rabi,3850,1403,608331,20,11
2022-02-28,Other Rabi pulses,Haryana,Rabi,6806,1131,535021,25,12
2022-03-31,Other Rabi pulses,Haryana,Rabi,5199,1132,708879,35,34
2022-04-30,Other Rabi pulses,Haryana,Rabi,1468,7905,2426147,18,34
2022-05-31,Other Rabi pulses,Haryana,Rabi,1397,8627,3235219,40,38
2022-06-30,Other Rabi pulses,Haryana,Rabi,7812,151,1617668,171,33
2022-07-31,Other Rabi pulses,Haryana,Rabi,6577,2506,1442799,249,25
2022-08-31,Other Rabi pulses,Haryana,Rabi,5463,2423,673858,202,30
2022-09-30,Other Rabi pulses,Haryana,Rabi,6464,1711,898295,2,31
2022-10-31,Other Rabi pulses,Haryana,Rabi,3601,4138,1835423,28,37
2022-11-30,Other Rabi pulses,Haryana,Rabi,4850,432,1931874,45,28
2022-12-31,Other Rabi pulses,Haryana,Rabi,3586,1656,1839706,0,5
2023-01-31,Other Rabi pulses,Haryana,Rabi,6220,1591,1384116,0,11
2023-02-28,Other Rabi pulses,Haryana,Rabi,7940,3293,743279,4,6
2023-03-31,Other Rabi pulses,Haryana,Rabi,6085,2643,1576395,16,33
2023-04-30,Other Rabi pulses,Haryana,Rabi,2702,5989,3618436,18,27
2023-05-31,Other Rabi pulses,Haryana,Rabi,2279,7374,3483790,25,33
2023-06-30,Other Rabi pulses,Haryana,Rabi,3585,3586,1745261,280,27
2023-07-31,Other Rabi pulses,Haryana,Rabi,4541,2721,1343083,283,33
2023-08-31,Other Rabi pulses,Haryana,Rabi,3235,877,524771,218,25
2023-09-30,Other Rabi pulses,Haryana,Rabi,6965,613,1557634,32,28
2023-10-31,Other Rabi pulses,Haryana,Rabi,3397,3916,1914020,5,28
2023-11-30,Other Rabi pulses,Haryana,Rabi,4491,4419,1894191,8,33
2023-12-31,Other Rabi pulses,Haryana,Rabi,7374,4403,1628273,17,6
2015-01-31,Other Rabi pulses,Tamil Nadu,Rabi,3880,3684,1420393,55,21
2015-02-28,Other Rabi pulses,Tamil Nadu,Rabi,7536,1785,1378058,85,24
2015-03-31,Other Rabi pulses,Tamil Nadu,Rabi,7993,3208,1761385,164,38
2015-04-30,Other Rabi pulses,Tamil Nadu,Rabi,3430,6179,3310593,131,33
2015-05-31,Other Rabi pulses,Tamil Nadu,Rabi,2032,6307,3005833,132,37
2015-06-30,Other Rabi pulses,Tamil Nadu,Rabi,3995,937,1101925,262,33
2015-07-31,Other Rabi pulses,Tamil Nadu,Rabi,3223,4922,1097497,364,32
2015-08-31,Other Rabi pulses,Tamil Nadu,Rabi,7804,2327,868298,397,28
2015-09-30,Other Rabi pulses,Tamil Nadu,Rabi,7350,2318,547454,112,35
2015-10-31,Other Rabi pulses,Tamil Nadu,Rabi,6220,2781,970167,181,31
2015-11-30,Other Rabi pulses,Tamil Nadu,Rabi,7319,749,1211120,102,38
2015-12-31,Other Rabi pulses,Tamil Nadu,Rabi,3589,574,1312335,83,24
2016-01-31,Other Rabi pulses,Tamil Nadu,Rabi,7355,3409,1070950,61,24
2016-02-29,Other Rabi pulses,Tamil Nadu,Rabi,3228,684,1596997,63,24
2016-03-31,Other Rabi pulses,Tamil Nadu,Rabi,5758,4615,659338,131,36
2016-04-30,Other Rabi pulses,Tamil Nadu,Rabi,2830,4990,3792257,160,32
2016-05-31,Other Rabi pulses,Tamil Nadu,Rabi,1774,6357,2549016,170,39
2016-06-30,Other Rabi pulses,Tamil Nadu,Rabi,5308,4990,1546473,381,30
2016-07-31,Other Rabi pulses,Tamil Nadu,Rabi,4489,3441,1182864,313,25
2016-08-31,Other Rabi pulses,Tamil Nadu,Rabi,5111,3056,734563,302,33
2016-09-30,Other Rabi pulses,Tamil Nadu,Rabi,7807,4919,688800,101,32
2016-10-31,Other Rabi pulses,Tamil Nadu,Rabi,6885,3900,1403428,174,31
2016-11-30,Other Rabi pulses,Tamil Nadu,Rabi,5526,982,1220063,199,36
2016-12-31,Other Rabi pulses,Tamil Nadu,Rabi,5178,2608,1689047,83,22
2017-01-31,Other Rabi pulses,Tamil Nadu,Rabi,4446,2789,1126273,51,21
2017-02-28,Other Rabi pulses,Tamil Nadu,Rabi,3454,4234,945170,87,24
2017-03-31,Other Rabi pulses,Tamil Nadu,Rabi,3652,4088,1777446,124,35
2017-04-30,Other Rabi pulses,Tamil Nadu,Rabi,1617,4547,3887738,133,30
2017-05-31,Other Rabi pulses,Tamil Nadu,Rabi,2543,8000,3216575,130,32
2017-06-30,Other Rabi pulses,Tamil Nadu,Rabi,6653,958,545294,381,34
2017-07-31,Other Rabi pulses,Tamil Nadu,Rabi,3448,4748,1214421,253,29
2017-08-31,Other Rabi pulses,Tamil Nadu,Rabi,4978,4281,1163914,204,26
2017-09-30,Other Rabi pulses,Tamil Nadu,Rabi,3507,4097,676585,131,35
2017-10-31,Other Rabi pulses,Tamil Nadu,Rabi,7668,374,1452392,131,31
2017-11-30,Other Rabi pulses,Tamil Nadu,Rabi,6815,4029,780884,193,32
2017-12-31,Other Rabi pulses,Tamil Nadu,Rabi,3722,2657,1640949,87,21
2018-01-31,Other Rabi pulses,Tamil Nadu,Rabi,6854,4409,1600047,84,20
2018-02-28,Other Rabi pulses,Tamil Nadu,Rabi,3016,1915,1452157,81,22
2018-03-31,Other Rabi pulses,Tamil Nadu,Rabi,5106,1522,689425,162,37
2018-04-30,Other Rabi pulses,Tamil Nadu,Rabi,2552,7226,2241865,129,35
2018-05-31,Other Rabi pulses,Tamil Nadu,Rabi,1989,8420,2707014,115,31
2018-06-30,Other Rabi pulses,Tamil Nadu,Rabi,3455,4795,1871217,323,25
2018-07-31,Other Rabi pulses,Tamil Nadu,Rabi,6039,2530,1940167,339,32
2018-08-31,Other Rabi pulses,Tamil Nadu,Rabi,4379,1433,884039,297,25
2018-09-30,Other Rabi pulses,Tamil Nadu,Rabi,3114,3127,1605627,197,32
2018-10-31,Other Rabi pulses,Tamil Nadu,Rabi,5878,3911,1811407,188,38
2018-11-30,Other Rabi pulses,Tamil Nadu,Rabi,5176,1681,1735505,154,39
2018-12-31,Other Rabi pulses,Tamil Nadu,Rabi,4314,2525,640638,86,23
2019-01-31,Other Rabi pulses,Tamil Nadu,Rabi,4129,4808,578975,58,22
2019-02-28,Other Rabi pulses,Tamil Nadu,Rabi,5352,4960,1624065,65,23
2019-03-31,Other Rabi pulses,Tamil Nadu,Rabi,5852,1839,1978950,108,36
2019-04-30,Other Rabi pulses,Tamil Nadu,Rabi,2110,7502,2619405,128,35
2019-05-31,Other Rabi pulses,Tamil Nadu,Rabi,2580,6674,2777160,150,35
2019-06-30,Other Rabi pulses,Tamil Nadu,Rabi,3665,3993,621312,241,32
2019-07-31,Other Rabi pulses,Tamil Nadu,Rabi,3667,3151,1968885,338,33
2019-08-31,Other Rabi pulses,Tamil Nadu,Rabi,4816,3115,1570982,399,33
2019-09-30,Other Rabi pulses,Tamil Nadu,Rabi,5101,3571,708612,104,31
2019-10-31,Other Rabi pulses,Tamil Nadu,Rabi,3460,1994,1971186,104,32
2019-11-30,Other Rabi pulses,Tamil Nadu,Rabi,5200,2991,1378249,152,37
2019-12-31,Other Rabi pulses,Tamil Nadu,Rabi,3304,387,530922,55,21
2020-01-31,Other Rabi pulses,Tamil Nadu,Rabi,6834,3327,1436228,64,23
2020-02-29,Other Rabi pulses,Tamil Nadu,Rabi,5351,816,1463678,70,20
2020-03-31,Other Rabi pulses,Tamil Nadu,Rabi,3385,1640,636183,114,38
2020-04-30,Other Rabi pulses,Tamil Nadu,Rabi,3420,7781,3950305,158,35
2020-05-31,Other Rabi pulses,Tamil Nadu,Rabi,2670,8840,3382655,133,36
2020-06-30,Other Rabi pulses,Tamil Nadu,Rabi,7914,480,1951543,389,29
2020-07-31,Other Rabi pulses,Tamil Nadu,Rabi,3014,1512,1921741,323,33
2020-08-31,Other Rabi pulses,Tamil Nadu,Rabi,4513,3672,1330910,276,32
2020-09-30,Other Rabi pulses,Tamil Nadu,Rabi,4403,4613,1876725,175,30
2020-10-31,Other Rabi pulses,Tamil Nadu,Rabi,6744,2563,1019802,128,34
2020-11-30,Other Rabi pulses,Tamil Nadu,Rabi,3443,2897,1442507,179,36
2020-12-31,Other Rabi pulses,Tamil Nadu,Rabi,3369,2270,1338956,62,24
2021-01-31,Other Rabi pulses,Tamil Nadu,Rabi,4082,4776,1964743,62,22
2021-02-28,Other Rabi pulses,Tamil Nadu,Rabi,5656,3994,980488,64,23
2021-03-31,Other Rabi pulses,Tamil Nadu,Rabi,5692,952,1681921,180,30
2021-04-30,Other Rabi pulses,Tamil Nadu,Rabi,2896,7208,3770488,138,37
2021-05-31,Other Rabi pulses,Tamil Nadu,Rabi,3249,4668,3497866,177,30
2021-06-30,Other Rabi pulses,Tamil Nadu,Rabi,6072,3808,1374882,280,25
2021-07-31,Other Rabi pulses,Tamil Nadu,Rabi,7823,4918,979284,357,27
2021-08-31,Other Rabi pulses,Tamil Nadu,Rabi,5520,2501,672385,238,31
2021-09-30,Other Rabi pulses,Tamil Nadu,Rabi,5379,3998,1359562,192,32
2021-10-31,Other Rabi pulses,Tamil Nadu,Rabi,4800,3491,1328682,121,35
2021-11-30,Other Rabi pulses,Tamil Nadu,Rabi,7210,2616,1231980,149,36
2021-12-31,Other Rabi pulses,Tamil Nadu,Rabi,4654,4555,1802803,66,20
2022-01-31,Other Rabi pulses,Tamil Nadu,Rabi,6001,1890,1866776,85,22
2022-02-28,Other Rabi pulses,Tamil Nadu,Rabi,5286,2206,575911,97,22
2022-03-31,Other Rabi pulses,Tamil Nadu,Rabi,5276,316,1948619,173,31
2022-04-30,Other Rabi pulses,Tamil Nadu,Rabi,2688,4033,3757803,172,30
2022-05-31,Other Rabi pulses,Tamil Nadu,Rabi,2963,5362,3362848,132,37
2022-06-30,Other Rabi pulses,Tamil Nadu,Rabi,6013,4802,960951,314,27
2022-07-31,Other Rabi pulses,Tamil Nadu,Rabi,4697,3345,530294,297,34
2022-08-31,Other Rabi pulses,Tamil Nadu,Rabi,5494,3679,993346,385,25
2022-09-30,Other Rabi pulses,Tamil Nadu,Rabi,7364,3697,858998,187,31
2022-10-31,Other Rabi pulses,Tamil Nadu,Rabi,6894,3946,896695,137,32
2022-11-30,Other Rabi pulses,Tamil Nadu,Rabi,6266,152,1125535,100,31
2022-12-31,Other Rabi pulses,Tamil Nadu,Rabi,3398,4711,1523038,78,20
2023-01-31,Other Rabi pulses,Tamil Nadu,Rabi,3159,4318,1567717,70,24
2023-02-28,Other Rabi pulses,Tamil Nadu,Rabi,3004,3195,600813,77,23
2023-03-31,Other Rabi pulses,Tamil Nadu,Rabi,4284,4327,1090623,150,32
2023-04-30,Other Rabi pulses,Tamil Nadu,Rabi,1408,5647,2173387,160,36
2023-05-31,Other Rabi pulses,Tamil Nadu,Rabi,2855,7133,3322365,171,32
2023-06-30,Other Rabi pulses,Tamil Nadu,Rabi,6896,4987,1349276,386,29
2023-07-31,Other Rabi pulses,Tamil Nadu,Rabi,5215,3145,1815298,295,31
2023-08-31,Other Rabi pulses,Tamil Nadu,Rabi,4310,1340,685429,331,33
2023-09-30,Other Rabi pulses,Tamil Nadu,Rabi,4811,2079,1025402,112,38
2023-10-31,Other Rabi pulses,Tamil Nadu,Rabi,7735,2144,1405061,196,37
2023-11-30,Other Rabi pulses,Tamil Nadu,Rabi,6466,699,1058536,114,31
2023-12-31,Other Rabi pulses,Tamil Nadu,Rabi,6172,3527,1429166,50,20
2015-01-31,Other Rabi pulses,Kerala,Rabi,3310,1522,947426,93,20
2015-02-28,Other Rabi pulses,Kerala,Rabi,3408,697,1734989,83,24
2015-03-31,Other Rabi pulses,Kerala,Rabi,3576,976,1401960,163,35
2015-04-30,Other Rabi pulses,Kerala,Rabi,1609,7172,2001627,164,32
2015-05-31,Other Rabi pulses,Kerala,Rabi,3020,4449,3998971,101,33
2015-06-30,Other Rabi pulses,Kerala,Rabi,5488,4552,1240799,282,25
2015-07-31,Other Rabi pulses,Kerala,Rabi,3923,3959,1567100,321,34
2015-08-31,Other Rabi pulses,Kerala,Rabi,5466,4798,1579634,207,32
